t,p1,p2,p1_p2_minus_q,pillow_h_order10,pillow_h_order8,c_recursion_order22,c_recursion_order20,ccy_plane_h_order10,ccy_plane_h_order8,relative_h10_vs_c22,relative_h_truncation_shift,relative_c_truncation_shift,relative_ccy_h10_vs_c22,relative_ccy_h_truncation_shift,map_residual
0.35,0.053897490322801764,0.09668654023915094,0.0,0.5147419978586797,0.5147419980058702,0.514741997858217,0.514741997850352,0.5147413624891612,0.5147356241743352,8.988897167132526e-13,2.8594999674043744e-10,1.527939148174474e-11,1.23434469758489e-06,1.1148081765870286e-05,7.079320960895276e-67
0.36,0.05183408049682211,0.100535435700539,0.0,0.5113727790337687,0.5113727791931237,0.5113727790325572,0.5113727790195408,0.5113719895798855,0.5113652809142729,2.3690581527549506e-12,3.1162212148117105e-10,2.5453799772408317e-11,1.5437909564862064e-06,1.3119126117973972e-05,2.67861333674183e-67
0.37,0.049895721975762634,0.10444105547598244,0.0,0.5082308211306278,0.508230821303021,0.5082308211280734,0.5082308211065388,0.5082298336957081,0.5082219443081331,5.026120976740867e-12,3.39202456814674e-10,4.237159524439448e-11,1.9428817071289323e-06,1.552350830844263e-05,2.7414900860204756e-67
0.38,0.04807117621934939,0.10840512499852765,0.0,0.5053022685737696,0.505302268760397,0.5053022685688552,0.5053022685333536,0.5053010280289933,0.505291710225569,9.725664486867126e-12,3.6933821067596106e-10,7.025810467102017e-11,2.4550451066372726e-06,1.8440443878008767e-05,6.126554694111683e-67
0.39,0.04635051104971749,0.11242943710577671,0.0,0.5025748033012782,0.5025748035037405,0.5025748032922774,0.5025748032340727,0.5025732405703056,0.5025622029109842,1.7909521456647035e-11,4.0284998789931033e-10,1.158132153662544e-10,3.1094315941549264e-06,2.1962772483788505e-05,6.213798676500968e-67
0.4,0.04472491536716025,0.11651585752828886,0.0,0.5000374570929671,0.5000374573133759,0.5000374570769748,0.5000374569821907,0.5000354858656914,0.5000223859556225,3.1982211785882237e-11,4.40784480827439e-10,1.8955390505736547e-10,3.942127245723679e-06,2.619864717424269e-05,4.281589221169531e-67
0.41,0.043186544599559326,0.12066633057135104,0.0,0.49768045349760415,0.49768045373872116,0.49768045346977735,0.4976804533165776,0.49767796625974264,0.49766240264736644,5.591292443303955e-11,4.844815745088078e-10,3.0782756054332366e-10,4.997604421405392e-06,3.127343414614082e-05,4.743601268713138e-67
0.42,0.04172839108110796,0.12488288505434646,0.0,0.4954950741703803,0.49549507443579716,0.4954950741227193,0.4954950738770514,0.4954919374167971,0.4954734404878777,9.618868474063072e-11,5.356599079982869e-10,4.958028690557554e-10,6.330448244595139e-06,3.733182731478031e-05,1.741665517290259e-67
0.43,0.04034417477868,0.12916764056948007,0.0,0.4934735454850241,0.4934735457793939,0.4934735454044353,0.493473545013667,0.49346959396244205,0.49344761571448353,1.633092869472454e-10,5.965260153088135e-10,7.918727497931034e-10,8.007403902405424e-06,4.454018473008855e-05,4.911282823349872e-67
0.44,0.03902825072392989,0.13352281412114725,0.0,0.49160894210450373,0.4916089424338392,0.49160894196974847,0.4916089413532318,0.49160397190317673,0.4915778744783867,2.7411059435311184e-10,6.69913551310992e-10,1.2540794906249383e-09,1.0109796928924894e-05,5.3089095634569667e-05,5.811225225490401e-67
0.45,0.03777553023703768,0.13795072720846804,0.0,0.4898951048373601,0.48989510520941626,0.4898951046142895,0.4898951036494841,0.4898888651207915,0.48985790796830864,4.5534369743737853e-10,7.594608723822154e-10,1.9694121430871987e-09,1.273638670644047e-05,6.319618807681299e-05,5.4871579138814267e-67
0.46,0.036581413595835,0.14245381341627927,0.0,0.48832657061556767,0.48832657104033245,0.4883265702497414,0.48832656875196995,0.48831875374181016,0.48828207927149336,7.491426084968161e-10,8.6983749607358e-10,3.0671513080158335e-09,1.6006722565366697e-05,7.51091876471785e-05,1.0886011942197162e-67
0.47,0.03544173225008637,0.14703462658409203,0.0,0.48689851283580476,0.48689851332612755,0.48689851224115077,0.48689850993428707,0.4868887425824502,0.48684536016328406,1.2213099100730417e-09,1.0070328471641058e-09,4.737873790087491e-09,2.006508226038727e-05,8.910923820159344e-05,4.451685001573082e-67
0.48,0.034352699033350365,0.15169584962816776,0.0,0.4856066906326961,0.4856066912050926,0.4856066896742173,0.48560668614856034,0.4855945081894016,0.48554327633557864,1.9737760546113245e-09,1.1787243889445427e-09,7.260313886928713e-09,2.508508444118947e-05,0.00010551449545264471,9.38217992749217e-68
0.49,0.03331086510537226,0.1564403040989885,0.0,0.48444740591782975,0.4844474065935113,0.48444740438542744,0.4844473990375867,0.4844322532539861,0.48437185983104164,3.1631965203934176e-09,1.3947469719035768e-09,1.1039053424773372e-08,3.127508023403692e-05,0.00012468400407388653,5.653432901497379e-67
0.5,0.03231308258241141,0.16127096056509785,8.236092143148846e-84,0.48341746723582607,0.4834174680420172,0.48341746480495434,0.48341745675265296,0.4833986673854016,0.4833276076574238,5.028514468269868e-09,1.6676913112377717e-09,1.6657034831881125e-08,3.888444444251897e-05,0.00014702186850495597,4.88418216817328e-67
0.51,0.03135647199348129,0.16619094992472916,0.0,0.4825141596690297,0.4825141606406527,0.4825141558419519,0.48251414380407776,0.48249089339809964,0.4824074457250343,7.93153478414731e-09,2.0136673268021438e-09,2.494823062268748e-08,4.821090442757985e-05,0.00017298172697133017,3.806926580254782e-67
0.52,0.030438393846513555,0.17120357575903147,0.0,0.48173522017377796,0.4817352213556085,0.4817352141924259,0.4817351963212322,0.48170649840685775,0.4816086973882803,1.2416265034133837e-08,2.4532781641757956e-09,3.709754613712455e-08,5.960906473536687e-05,0.00020307153734519138,6.803577427271624e-68
0.53,0.029556423707141562,0.17631232785533776,0.0,0.4810788178602484,0.4810788193096734,0.4810788085777529,0.48107878222556155,0.4810434491369876,0.4809290559854177,1.9295166013528408e-08,3.0128637463547894e-09,5.477728880895505e-08,7.350030833797722e-05,0.0002378586823695892,5.0424566440970325e-68
0.54,0.028708330289707876,0.1815208970461461,0.0,0.48054353883989814,0.48054354063044646,0.48054352453230487,0.48054348592907387,0.4805000909512043,0.48036656086408996,2.9773771895472818e-08,3.726089582133754e-09,8.033244053546441e-08,9.038428130494603e-05,0.0002779754004402718,1.4382127672835597e-67
