z,q,p1,p2,p3,pillow_h_order10,pillow_h_order8,c_recursion_order20,c_recursion_order18,relative_h10_vs_c20,relative_h_truncation_shift,relative_c_truncation_shift,difference_over_shift_sum,cover_residual,nome_product_residual
0.04583333333333333,0.002932273869987272,0.032505330568850965,0.3893240807831033,0.2317067450471829,0.6450047356670399,0.6450013526814474,0.6450003366219554,0.64499146914562,6.8202213775889084e-06,5.244927903391919e-06,1.3748207161881417e-05,0.35908876307939613,2.2586172589537023e-67,0.0
0.048916666666666664,0.003134558511043717,0.03490848131058251,0.38818170009550074,0.23131850026908501,0.667755282832369,0.6677518678030538,0.6677506659140773,0.6677414006171326,6.914135061856014e-06,5.114219038267228e-06,1.3875576587092807e-05,0.3640973920026022,7.31899361348345e-67,4.118046071574423e-84
0.052,0.003337498976860551,0.037342324038245445,0.387027808396495,0.23092854929751813,0.69001395189301,0.6900105118820232,0.6900091150653304,0.6899994500667143,7.009802586528702e-06,4.985447217690742e-06,1.400725553508728e-05,0.36907872869770436,2.3080104574789234e-67,0.0
0.05508333333333333,0.003541099469943854,0.03980755362382255,0.3858621950435055,0.23053687771568152,0.7118357675947258,0.7118323090720393,0.7118307083643409,0.7118206407369684,7.107350561464644e-06,4.858619990014659e-06,1.4143488958324354e-05,0.37402956591751896,3.493372882493908e-67,0.0
0.058166666666666665,0.003745364233327031,0.042304888078007634,0.384684643534812,0.2301434709204308,0.7332682401025093,0.7332647690134174,0.7332629555382184,0.7332524813633414,7.2069156787128e-06,4.7337458973027745e-06,1.4284540650397956e-05,0.37894663436880965,6.881011701909838e-67,0.0
0.06125,0.003950297551094457,0.04483506958334853,0.3834949312827428,0.22974831411895505,0.7543527721380363,0.7543492939582525,0.7543472588811792,0.754336373283098,7.308645709686456e-06,4.61083454538382e-06,1.4430694934819348e-05,0.38382661000446455,2.5392045272748468e-67,0.0
0.06433333333333334,0.004155903748913613,0.04739886558582245,0.38229282937534803,0.22935139232537727,0.7751257485195883,0.77512226830069,0.7751200027870702,0.7751086999516271,7.412700610742362e-06,4.489896679050653e-06,1.4582258519012658e-05,0.38866612261497785,4.0978513961451604e-67,0.0
0.06741666666666667,0.004362187194575892,0.04999706994887129,0.38107810232582395,0.22895269035727575,0.7956193915736073,0.7956159139807927,0.795613409154497,0.7956016823337488,7.519253750017743e-06,4.3709442628554726e-06,1.4739562533055848e-05,0.39346176584006043,7.78157719403373e-68,8.236092143148846e-84
0.0705,0.004569152298546233,0.05263050417425379,0.3798505078089002,0.22855219283212397,0.8158624411793644,0.8158589705229989,0.8158562174257002,0.8158440589304276,7.628493270233162e-06,4.253990567996453e-06,1.4902964775672864e-05,0.39821010872451107,4.7513227907130286e-67,0.0
0.07358333333333333,0.004776803514521774,0.05530001869443191,0.3786097963833366,0.228149884163647,0.835880701569021,0.835877241831101,0.8358742313812153,0.8358616325623734,7.74062360436514e-06,4.139050265841532e-06,1.5072852193504451e-05,0.40290770894475214,2.851431463969406e-67,0.0
0.07666666666666666,0.004985145339999683,0.05800649424160369,0.3773557111996131,0.2277457485580914,0.8556974855740663,0.8556940404304657,0.8556907633810961,0.8556777146008915,7.855867163701484e-06,4.026139528690814e-06,1.5249643623873454e-05,0.40755112783349684,7.686379776873233e-68,0.0
0.07975,0.005194182316854362,0.06075084329892819,0.376087987691819,0.2273397700104067,0.8753339790130666,0.8753305518522437,0.875326998747483,0.8753134893404216,7.974466220906848e-06,3.915276138441018e-06,1.5433792836261727e-05,0.41213694732975437,6.406613524025207e-67,8.236092143148846e-84
0.08283333333333333,0.005403919031924206,0.06353401163996443,0.37480635325266987,0.22693193230033532,0.8948095422305151,0.8948061361692083,0.8948022972981636,0.8947883155221384,8.096685014461555e-06,3.8064796038841344e-06,1.5625791913710487e-05,0.4166617889797674,6.800563111529518e-67,8.236092143148846e-84
