t,N,source_L,target_R,comparison,source_Z,target_Z,free_frame_power,ratio,norm_ratio,phase_difference_rad,relative_disagreement
0.6,3,3.0,12,resolved_00,2.017134444784801e-10,6.528144594598787e-10,1.2226013135427836,0.25273199304541166,0.25273199304541166,-6.878642099869155e-19,0.7472680069545883
0.6,3,3.0,12,resolved_11,1.9639789908644241e-10,6.351112752965323e-10,1.2226013135427836,0.25293105570725627,0.25293105570725627,4.4560362488560834e-20,0.7470689442927437
0.6,3,3.0,12,spin_sum,3.981113435649225e-10,1.287925734756411e-09,1.2226013135427836,0.2528301562683493,0.2528301562683493,-3.265710512855581e-19,0.7471698437316507
0.6,3,5.0,8,s=+1,1.909387480166164e-10,6.174702014262581e-10,1.2226013135427836,0.252925844507152,0.252925844507152,0.0,0.747074155492848
0.6,3,5.0,8,s=-1,2.072498596036154e-10,6.704552787731868e-10,1.2226013135427836,0.2528363851215042,0.2528363851215042,0.0,0.7471636148784958
0.6,3,5.0,8,resolved_00,2.017199465973768e-10,6.528143511963565e-10,1.2226013135427836,0.25274018163312206,0.25274018163312206,2.456465202989631e-19,0.7472598183668779
0.6,3,5.0,8,resolved_11,1.9646866102285507e-10,6.351111290030885e-10,1.2226013135427836,0.2530222447566703,0.2530222447566703,4.750099609379793e-19,0.7469777552433297
0.6,3,5.0,8,spin_sum,3.9818860762023184e-10,1.287925480199445e-09,1.2226013135427836,0.25287927464090937,0.25287927464090937,3.587647130352296e-19,0.7471207253590906
0.6,4,3.0,8,s=+1,1.9261753579338848e-10,6.245924096045389e-10,1.2226013135427836,0.2522401769051357,0.2522401769051357,0.0,0.7477598230948643
0.6,4,3.0,8,s=-1,2.0893570557527144e-10,6.778775540379754e-10,1.2226013135427836,0.2521021516161499,0.2521021516161499,0.0,0.7478978483838501
0.6,4,3.0,8,resolved_00,2.0343309768408112e-10,6.60142236632974e-10,1.2226013135427836,0.25205727329149097,0.25205727329149097,-2.5217314619232655e-19,0.747942726708509
0.6,4,3.0,8,resolved_11,1.9812014368457886e-10,6.423277270095405e-10,1.2226013135427836,0.252282488881038,0.252282488881038,1.0259603144242929e-18,0.747717511118962
0.6,4,3.0,8,spin_sum,4.0155324136865995e-10,1.3024699636425144e-09,1.2226013135427836,0.25216834089516627,0.25216834089516627,3.782327930742438e-19,0.7478316591048337
0.6,4,3.0,12,s=+1,1.9261753579338848e-10,6.245926543903294e-10,1.2226013135427836,0.2522400780490082,0.2522400780490082,0.0,0.7477599219509918
0.6,4,3.0,12,s=-1,2.0893570557527144e-10,6.778775669061796e-10,1.2226013135427836,0.25210214683047455,0.25210214683047455,0.0,0.7478978531695255
0.6,4,3.0,12,resolved_00,2.0343309768408112e-10,6.60142345560537e-10,1.2226013135427836,0.2520572317004846,0.2520572317004846,-3.2907170849141603e-19,0.7479427682995154
0.6,4,3.0,12,resolved_11,1.9812014368457886e-10,6.423278757359721e-10,1.2226013135427836,0.2522824304668297,0.2522824304668297,-6.698227678195644e-19,0.7477175695331704
0.6,4,3.0,12,spin_sum,4.0155324136865995e-10,1.3024702212965091e-09,1.2226013135427836,0.2521682910113538,0.2521682910113538,-4.970369087987555e-19,0.7478317089886461
